timestamp_utc,mem_total_kib,mem_available_kib,swap_total_kib,swap_used_kib,pswpin,pswpout,pgmajfault,gemma_rss_kib,gemma_pss_kib,gemma_swap_kib,ornith_rss_kib,ornith_pss_kib,ornith_swap_kib
2026-09-26T15:26:22.980623+00:00,64060288,43839776,4194300,50324,113469,1787353,117780,0,0,0,0,0,0
2026-09-26T15:26:23.981352+00:00,64060288,43831248,4194300,50324,113469,1787353,117780,0,0,0,0,0,0
2026-09-26T15:26:24.982162+00:00,64060288,43814664,4194300,50324,113469,1787353,117780,0,0,0,0,0,0
2026-09-26T15:26:25.982974+00:00,64060288,43826704,4194300,50324,113469,1787353,117780,0,0,0,0,0,0
2026-09-26T15:26:26.983843+00:00,64060288,43819824,4194300,50324,113469,1787353,117780,0,0,0,0,0,0
2026-09-26T15:26:27.984713+00:00,64060288,43829540,4194300,50324,113469,1787353,117780,0,0,0,0,0,0
2026-09-26T15:26:28.985585+00:00,64060288,43810120,4194300,50324,113469,1787353,117780,0,0,0,0,0,0
2026-09-26T15:26:29.986437+00:00,64060288,43832660,4194300,50324,113469,1787353,117780,0,0,0,0,0,0
2026-09-26T15:26:30.987291+00:00,64060288,43835140,4194300,50324,113469,1787353,117780,0,0,0,0,0,0
2026-09-26T15:26:31.988141+00:00,64060288,43831268,4194300,50324,113469,1787353,117780,0,0,0,0,0,0
2026-09-26T15:26:32.988942+00:00,64060288,43829704,4194300,50324,113469,1787353,117780,0,0,0,0,0,0
2026-09-26T15:26:33.989724+00:00,64060288,43823884,4194300,50324,113469,1787353,117780,0,0,0,0,0,0
2026-09-26T15:26:34.990504+00:00,64060288,43809412,4194300,50324,113469,1787353,117780,0,0,0,0,0,0
2026-09-26T15:26:35.991390+00:00,64060288,43803984,4194300,50324,113469,1787353,117780,0,0,0,0,0,0
2026-09-26T15:26:36.992265+00:00,64060288,43805100,4194300,50324,113469,1787353,117780,0,0,0,0,0,0
2026-09-26T15:26:37.993147+00:00,64060288,43811328,4194300,50324,113469,1787353,117780,0,0,0,0,0,0
2026-09-26T15:26:38.994020+00:00,64060288,43806508,4194300,50324,113469,1787353,117780,0,0,0,0,0,0
2026-09-26T15:26:39.994887+00:00,64060288,43804140,4194300,50324,113469,1787353,117781,0,0,0,0,0,0
2026-09-26T15:26:40.995755+00:00,64060288,43815632,4194300,50324,113469,1787353,117781,0,0,0,0,0,0
2026-09-26T15:26:41.996614+00:00,64060288,43798572,4194300,50324,113469,1787353,117781,0,0,0,0,0,0
2026-09-26T15:26:42.997387+00:00,64060288,43786112,4194300,50324,113469,1787353,117781,0,0,0,0,0,0
2026-09-26T15:26:43.998189+00:00,64060288,43789020,4194300,50324,113469,1787353,117781,0,0,0,0,0,0
2026-09-26T15:26:44.999062+00:00,64060288,43779852,4194300,50324,113469,1787353,117781,0,0,0,0,0,0
2026-09-26T15:26:45.999944+00:00,64060288,43796160,4194300,50324,113469,1787353,117781,0,0,0,0,0,0
2026-09-26T15:26:47.000812+00:00,64060288,43798940,4194300,50324,113470,1787353,117782,0,0,0,0,0,0
2026-09-26T15:26:48.001672+00:00,64060288,43802384,4194300,50324,113470,1787353,117782,0,0,0,0,0,0
2026-09-26T15:26:49.002515+00:00,64060288,43799624,4194300,50324,113470,1787353,117782,0,0,0,0,0,0
2026-09-26T15:26:50.003381+00:00,64060288,43798084,4194300,50324,113470,1787353,117782,0,0,0,0,0,0
2026-09-26T15:26:51.004244+00:00,64060288,43781540,4194300,50324,113470,1787353,117782,0,0,0,0,0,0
2026-09-26T15:26:52.005033+00:00,64060288,43803268,4194300,50324,113470,1787353,117782,0,0,0,0,0,0
2026-09-26T15:26:53.005806+00:00,64060288,43776820,4194300,50324,113471,1787353,117783,0,0,0,0,0,0
2026-09-26T15:26:54.006555+00:00,64060288,43791912,4194300,50324,113471,1787353,117783,0,0,0,0,0,0
2026-09-26T15:26:55.007430+00:00,64060288,43802032,4194300,50324,113471,1787353,117783,0,0,0,0,0,0
2026-09-26T15:26:56.008313+00:00,64060288,43804368,4194300,50324,113471,1787353,117783,0,0,0,0,0,0
2026-09-26T15:26:57.009171+00:00,64060288,43790016,4194300,50324,113471,1787353,117783,0,0,0,0,0,0
2026-09-26T15:26:58.010052+00:00,64060288,43823268,4194300,50324,113471,1787353,117783,0,0,0,0,0,0
2026-09-26T15:26:59.010927+00:00,64060288,43814844,4194300,50324,113471,1787353,117783,0,0,0,0,0,0
2026-09-26T15:27:00.011784+00:00,64060288,43812348,4194300,50324,113471,1787353,117783,0,0,0,0,0,0
2026-09-26T15:27:01.012518+00:00,64060288,43820408,4194300,50324,113471,1787353,117783,0,0,0,0,0,0
2026-09-26T15:27:02.013312+00:00,64060288,43814244,4194300,50324,113471,1787353,117783,0,0,0,0,0,0
2026-09-26T15:27:03.014105+00:00,64060288,43802576,4194300,50324,113471,1787353,117783,0,0,0,0,0,0
2026-09-26T15:27:04.015002+00:00,64060288,43816852,4194300,50324,113471,1787353,117783,0,0,0,0,0,0
2026-09-26T15:27:05.015884+00:00,64060288,43787652,4194300,50324,113471,1787353,117783,0,0,0,0,0,0
2026-09-26T15:27:06.016771+00:00,64060288,43786636,4194300,50324,113471,1787353,117783,0,0,0,0,0,0
2026-09-26T15:27:07.017633+00:00,64060288,43775252,4194300,50324,113471,1787353,117783,0,0,0,0,0,0
2026-09-26T15:27:08.018483+00:00,64060288,43780736,4194300,50324,113471,1787353,117783,0,0,0,0,0,0
2026-09-26T15:27:09.019329+00:00,64060288,43768228,4194300,50324,113471,1787353,117783,0,0,0,0,0,0
2026-09-26T15:27:10.020197+00:00,64060288,43777348,4194300,50324,113471,1787353,117783,0,0,0,0,0,0
2026-09-26T15:27:11.020926+00:00,64060288,43769572,4194300,50324,113471,1787353,117783,0,0,0,0,0,0
2026-09-26T15:27:12.021687+00:00,64060288,43782900,4194300,50324,113471,1787353,117783,0,0,0,0,0,0
2026-09-26T15:27:13.022558+00:00,64060288,43800260,4194300,50324,113471,1787353,117783,0,0,0,0,0,0
2026-09-26T15:27:14.023420+00:00,64060288,43806508,4194300,50324,113471,1787353,117783,0,0,0,0,0,0
